0,1,1,0,0,5293,2149,16,3,3,11,7621,9,11,5809,1811,52,2,1,7,5534,31,10,11034,13294,15,3,3,5,7987,168,12,11963,107,18,5,3,8,7428,101,12,14513,3501,8,8,3,5,9025,135,13,1
1,0,0,1,0,4637,22350,20,3,4,4,7165,12,10,2899,0,20,1,4,5,4469,19,8,8670,6690,10,2,5,3,7195,138,12,8345,3285,16,5,3,4,8760,150,12,7251,6437,20,2,5,1,8058,172,12,0
0,0,0,1,1,31590,13471,34,4,5,21,16902,267,18,47875,50208,31,19,8,15,21348,63,18,38575,10455,49,8,6,22,17985,268,18,6312,1597,100,1,14,28,10507,41,16,40527,9661,44,14,3,14,18781,234,18,1
1,1,1,0,0,22393,2541,29,5,11,13,14008,203,18,31237,12018,38,5,12,21,14637,99,18,23948,3300,23,4,8,9,13235,230,18,59785,29651,52,20,6,8,24334,368,18,10944,4275,128,2,9,25,10480,25,16,0
0,0,1,0,0,16331,7399,13,6,7,6,10726,29,13,11105,2976,19,2,4,4,8343,169,13,14046,4034,44,9,6,1,10755,166,13,9756,1891,48,0,8,11,5922,9,11,15951,5355,17,3,6,5,8777,121,13,0
1,1,0,1,1,22758,3110,11,7,7,7,10282,128,14,24718,34063,18,10,4,8,13405,62,15,16278,6398,12,5,4,11,9827,126,13,5543,712,63,2,3,15,7314,33,12,15799,16396,11,7,2,7,11211,160,13,1
0,1,1,1,0,21252,5327,30,2,2,14,13037,228,18,15090,20936,49,8,8,8,13093,40,15,16303,18974,26,9,2,4,14645,236,16,10546,3821,97,3,8,11,8670,43,13,19061,16874,23,4,2,10,13974,248,16,0
1,0,0,0,1,20499,3693,23,6,5,5,12879,225,17,16527,37300,35,4,4,9,13678,77,16,17151,10181,26,3,6,7,14191,279,17,4534,2518,63,0,4,12,7533,19,14,25159,19593,32,9,7,5,17387,248,16,1
0,0,1,1,0,16366,6752,14,1,6,4,11153,232,15,11522,10373,26,3,7,4,8726,12,12,17923,3491,23,6,8,5,11495,193,14,13237,375,22,4,4,1,8066,136,11,6147,0,79,2,8,6,6053,29,11,0
1,1,0,0,1,12889,5607,26,2,2,14,9207,150,15,15317,28375,30,8,4,14,12367,35,15,31735,10683,20,17,2,11,14616,174,16,13351,10012,28,5,0,14,12403,228,15,5661,1383,43,1,8,19,7255,7,12,1
0,0,1,1,0,11005,4435,10,3,2,5,7079,119,10,11416,8220,5,6,0,1,10063,137,13,4973,971,36,2,4,11,5741,24,9,6574,19407,14,6,2,5,8292,14,10,11647,2052,9,5,2,6,8283,152,12,1
1,1,0,0,0,7300,0,11,1,4,4,5488,112,10,5604,407,9,2,5,1,5880,111,10,11332,1688,16,3,5,5,6689,30,10,4594,0,28,2,3,5,4570,21,8,6815,164,6,2,5,4,5284,78,8,0
0,0,0,0,0,3495,1522,5,0,3,0,4603,113,9,4913,0,3,1,3,0,3919,67,9,4737,0,5,1,5,0,4086,82,8,1032,4439,7,0,2,1,4077,3,8,5438,815,14,1,5,0,4078,13,7,0
1,1,1,1,0,4023,21317,11,4,1,3,7805,33,11,8882,1933,15,7,1,3,8093,130,11,5837,6612,16,3,1,3,7611,108,11,3257,12329,10,2,0,4,6010,92,9,1718,2841,19,2,0,6,4876,16,8,1
0,0,0,0,0,19043,21534,19,4,3,12,12109,173,16,17076,21698,49,8,6,11,11182,21,15,23798,11292,18,15,3,13,14370,164,16,24811,6879,24,11,10,5,13064,156,15,9007,6333,109,2,8,24,8968,39,15,1
1,1,1,1,0,16479,6159,19,3,7,6,12326,213,15,13967,32191,28,7,7,7,11458,36,15,16255,1098,23,6,6,8,10648,151,14,6971,664,55,2,11,16,7793,26,12,23267,7920,18,12,9,9,14137,185,14,0
0,1,0,0,0,32268,27913,27,12,4,10,15584,66,16,8214,1098,58,2,4,18,8249,11,13,19743,6551,24,7,6,6,13559,246,17,19098,7194,35,6,5,12,13973,223,16,9163,2674,28,6,2,12,11424,186,17,1
1,0,1,1,0,14325,40814,42,4,6,9,11829,32,15,15943,13023,40,6,5,9,13783,240,15,5975,4984,65,3,7,11,8474,36,12,19239,4819,31,5,9,1,13767,241,17,14230,6975,35,3,6,8,13345,245,17,0
0,0,0,1,0,11690,2168,18,4,10,3,10379,153,13,7821,36725,26,1,10,1,7514,38,11,11073,3831,15,2,8,1,7665,133,12,5193,0,44,1,3,6,6097,28,10,18565,1846,17,5,6,3,9000,159,12,0
1,1,1,0,1,29416,15294,13,15,3,10,14122,165,15,12285,11983,30,6,2,21,10896,35,14,31223,5468,6,11,4,9,11588,193,15,9258,3566,51,0,2,22,6880,9,13,13175,9249,15,5,2,7,8902,132,13,1
